comentario,sentimiento
Este producto me encantó,positivo
No cumplió lo que prometía,negativo
Me parece algo normal,neutro
Repetiría la compra sin dudarlo,positivo
El servicio fue pésimo,negativo
No estuvo ni bien ni mal,neutro
Vale totalmente la pena,positivo
La calidad dejó mucho que desear,negativo
Es bastante neutral,neutro
Lo encontré excelente,positivo
La atención fue muy mala,negativo
Podría mejorar,neutro
Superó mis expectativas,positivo
Fue un desperdicio de dinero,negativo
Es un producto estándar,neutro
Estoy muy satisfecho,positivo
Nunca volveré a comprarlo,negativo
No tengo opinión concreta,neutro
Realmente lo recomiendo,positivo
Me defraudó por completo,negativo
Es adecuado para su precio,neutro
Fascinante y muy útil,positivo
Nada bueno puedo decir,negativo
No estuvo mal,neutro
Una experiencia destacable,positivo
Este producto me encantó,positivo
No cumplió lo que prometía,negativo
Me parece algo normal,neutro
Repetiría la compra sin dudarlo,positivo
El servicio fue pésimo,negativo
No estuvo ni bien ni mal,neutro
Vale totalmente la pena,positivo
La calidad dejó mucho que desear,negativo
Es bastante neutral,neutro
Lo encontré excelente,positivo
La atención fue muy mala,negativo
Podría mejorar,neutro
Superó mis expectativas,positivo
Fue un desperdicio de dinero,negativo
Es un producto estándar,neutro
Estoy muy satisfecho,positivo
Nunca volveré a comprarlo,negativo
No tengo opinión concreta,neutro
Realmente lo recomiendo,positivo
Me defraudó por completo,negativo
Es adecuado para su precio,neutro
Fascinante y muy útil,positivo
Nada bueno puedo decir,negativo
No estuvo mal,neutro
Una experiencia destacable,positivo
Este producto me encantó,positivo
No cumplió lo que prometía,negativo
Me parece algo normal,neutro
Repetiría la compra sin dudarlo,positivo
El servicio fue pésimo,negativo
No estuvo ni bien ni mal,neutro
Vale totalmente la pena,positivo
La calidad dejó mucho que desear,negativo
Es bastante neutral,neutro
Lo encontré excelente,positivo
La atención fue muy mala,negativo
Podría mejorar,neutro
Superó mis expectativas,positivo
Fue un desperdicio de dinero,negativo
Es un producto estándar,neutro
Estoy muy satisfecho,positivo
Nunca volveré a comprarlo,negativo
No tengo opinión concreta,neutro
Realmente lo recomiendo,positivo
Me defraudó por completo,negativo
Es adecuado para su precio,neutro
Fascinante y muy útil,positivo
Nada bueno puedo decir,negativo
No estuvo mal,neutro
Una experiencia destacable,positivo
Este producto me encantó,positivo
No cumplió lo que prometía,negativo
Me parece algo normal,neutro
Repetiría la compra sin dudarlo,positivo
El servicio fue pésimo,negativo
No estuvo ni bien ni mal,neutro
Vale totalmente la pena,positivo
La calidad dejó mucho que desear,negativo
Es bastante neutral,neutro
Lo encontré excelente,positivo
La atención fue muy mala,negativo
Podría mejorar,neutro
Superó mis expectativas,positivo
Fue un desperdicio de dinero,negativo
Es un producto estándar,neutro
Estoy muy satisfecho,positivo
Nunca volveré a comprarlo,negativo
No tengo opinión concreta,neutro
Realmente lo recomiendo,positivo
Me defraudó por completo,negativo
Es adecuado para su precio,neutro
Fascinante y muy útil,positivo
Nada bueno puedo decir,negativo
No estuvo mal,neutro
Una experiencia destacable,positivo
Este producto me encantó,positivo
No cumplió lo que prometía,negativo
Me parece algo normal,neutro
Repetiría la compra sin dudarlo,positivo
El servicio fue pésimo,negativo
No estuvo ni bien ni mal,neutro
Vale totalmente la pena,positivo
La calidad dejó mucho que desear,negativo
Es bastante neutral,neutro
Lo encontré excelente,positivo
La atención fue muy mala,negativo
